patent_id	assignee_sequence	assignee_id	disambig_assignee_individual_name_first	disambig_assignee_individual_name_last	disambig_assignee_organization	assignee_type	location_id
5000001	0	a-0000			ASML Netherlands B.V.	3	NL
5000002	0	a-0000			ASML HOLDING N.V.	3	NL
5000003	0	a-0000			Asml Netherlands BV	3	NL
5000004	0	a-0000			ASML Netherlands B.V.	3	NL
5000005	0	a-0000			ASML Netherlands, B.V.	3	NL
5000006	0	a-0000			ASML Netherlands B.V.	3	NL
5000007	0	a-0000			ASML Netherlands B.V.	3	NL
5000008	0	a-0000			Asml Netherlands BV	3	NL
5000009	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000010	0	a-0001			Canon Kabushiki Kaisha	3	JP
5000011	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000012	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000013	0	a-0001			Canon Inc.	3	JP
5000014	0	a-0001			Canon Kabushiki Kaisha	3	JP
5000015	0	a-0001			Canon Inc.	3	JP
5000016	0	a-0002			NIKON CORPORATION	3	JP
5000017	0	a-0002			Nikon Corp	3	JP
5000018	0	a-0002			NIKON CORPORATION	3	JP
5000019	0	a-0002			Nikon Corporation	3	JP
5000020	0	a-0002			Nikon Corp	3	JP
5000021	0	a-0002			Nikon Corporation	3	JP
5000022	0	a-0002			Nikon Corporation	3	JP
5000023	0	a-0003			Carl Zeiss SMT AG	3	DE
5000024	0	a-0003			CARL ZEISS SMT GMBH	3	DE
5000025	0	a-0003			CARL ZEISS SMT GMBH	3	DE
5000026	0	a-0003			Carl Zeiss SMT AG	3	DE
5000027	0	a-0003			CARL ZEISS SMT GMBH	3	DE
5000028	0	a-0004			TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED	3	TW
5000029	0	a-0004			Taiwan Semiconductor Manufacturing Company, Ltd.	3	TW
5000030	0	a-0004			Taiwan Semiconductor Manufacturing Co., Ltd.	3	TW
5000031	0	a-0005			Samsung Electronics Co., Ltd.	3	KR
5000032	0	a-0005			Samsung Electronics Co., Ltd.	3	KR
5000033	0	a-0005			SAMSUNG ELECTRONICS CO., LTD.	3	KR
5000034	0	a-0005			Samsung Electronics Company Limited	3	KR
5000035	0	a-0005			Samsung Electronics Company Limited	3	KR
5000036	0	a-0005			Samsung Electronics Company Limited	3	KR
5000037	0	a-0005			Samsung Electronics Co., Ltd.	3	KR
5000038	0	a-0006			Intel Corporation	3	US
5000039	0	a-0006			Intel Corporation	3	US
5000040	0	a-0006			INTEL CORPORATION	3	US
5000041	0	a-0006			Intel Corporation	3	US
5000042	0	a-0007			Tokyo Electron Limited	3	JP
5000043	0	a-0007			TOKYO ELECTRON LIMITED	3	JP
5000044	0	a-0007			TOKYO ELECTRON LIMITED	3	JP
5000045	0	a-0007			Tokyo Electron Limited	3	JP
5000046	0	a-0009			Gigaphoton Inc.	3	JP
5000047	0	a-0009			GIGAPHOTON INC.	3	JP
5000048	0	a-0009			Gigaphoton Inc.	3	JP
5000049	0	a-0009			GIGAPHOTON INC.	3	JP
5000050	0	a-0009			Gigaphoton Inc.	3	JP
5000051	0	a-0009			Gigaphoton Inc.	3	JP
5000052	0	a-0010			Cymer, Inc.	3	US
5000053	0	a-0010			Cymer, Inc.	3	US
5000054	0	a-0010			CYMER, INC.	3	US
5000055	0	a-0010			Cymer LLC	3	US
5000056	0	a-0010			Cymer LLC	3	US
5000057	0	a-0010			CYMER, INC.	3	US
5000058	0	a-0010			Cymer LLC	3	US
5000059	0	a-0011			INTERNATIONAL BUSINESS MACHINES CORPORATION	3	US
5000060	0	a-0011			International Business Machines Corporation	3	US
5000061	0	a-0011			International Business Machines Corporation	3	US
5000062	0	a-0011			International Business Machines Corporation	3	US
5000063	0	a-0011			International Business Machines Corporation	3	US
5000064	0	a-0000			ASML Netherlands B.V.	3	NL
5000065	0	a-0000			ASML Netherlands, B.V.	3	NL
5000066	0	a-0000			Asml Netherlands BV	3	NL
5000067	0	a-0000			ASML Netherlands B.V.	3	NL
5000068	0	a-0000			ASML Netherlands, B.V.	3	NL
5000069	0	a-0000			ASML Netherlands, B.V.	3	NL
5000070	0	a-0000			ASML HOLDING N.V.	3	NL
5000071	0	a-0000			Asml Netherlands BV	3	NL
5000072	0	a-0000			ASML HOLDING N.V.	3	NL
5000073	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000074	0	a-0001			Canon Kabushiki Kaisha	3	JP
