patent_id	patent_type	patent_date	patent_title	wipo_kind	num_claims	withdrawn
5000001	utility	4/25/2005	Exposure apparatus method and apparatus	B2	12	0
5000002	utility	1/17/2005	Exposure; illumination method and apparatus	B2	8	0
5000003	utility	1/14/2005	Exposure; illumination method and apparatus	B2	25	0
5000004	utility	10/29/2005	Exposure apparatus method and apparatus	B2	16	0
5000005	utility	3/23/2005	Alignment / registration method and apparatus	B2	30	0
5000006	utility	6/22/2005	Exposure apparatus method and apparatus	B2	11	0
5000007	utility	6/26/2005	Exposure apparatus method and apparatus	B2	27	0
5000008	utility	10/2/2005	Alignment / registration method and apparatus	B2	11	0
5000009	utility	5/31/2005	Exposure apparatus method and apparatus	B2	28	0
5000010	utility	12/27/2005	Exposure; illumination method and apparatus	B2	10	0
5000011	utility	2/10/2005	Exposure; illumination method and apparatus	B2	15	0
5000012	utility	11/22/2005	Exposure apparatus method and apparatus	B2	19	0
5000013	utility	5/17/2005	Exposure apparatus method and apparatus	B2	30	0
5000014	utility	11/22/2005	Exposure apparatus method and apparatus	B2	13	0
5000015	utility	7/14/2005	Exposure apparatus method and apparatus	B2	16	0
5000016	utility	1/29/2005	Exposure apparatus method and apparatus	B2	15	0
5000017	utility	2/3/2005	Exposure apparatus method and apparatus	B2	14	0
5000018	utility	6/11/2005	Alignment / registration method and apparatus	B2	14	0
5000019	utility	11/26/2005	Alignment / registration method and apparatus	B2	22	0
5000020	utility	10/15/2005	Exposure apparatus method and apparatus	B2	25	0
5000021	utility	10/26/2005	Exposure apparatus method and apparatus	B2	20	0
5000022	utility	2/16/2005	Exposure; illumination method and apparatus	B2	9	0
5000023	utility	12/15/2005	Exposure; illumination method and apparatus	B2	21	0
5000024	utility	8/28/2005	Exposure apparatus method and apparatus	B2	24	0
5000025	utility	1/6/2005	Exposure; illumination method and apparatus	B2	29	0
5000026	utility	5/17/2005	Exposure; illumination method and apparatus	B2	28	0
5000027	utility	8/21/2005	Exposure apparatus method and apparatus	B2	8	0
5000028	utility	2/24/2005	Masks / reticles method and apparatus	B2	28	0
5000029	utility	4/12/2005	EUV masks method and apparatus	B2	12	0
5000030	utility	9/29/2005	EUV masks method and apparatus	B2	8	0
