patent_id	patent_type	patent_date	patent_title	wipo_kind	num_claims	withdrawn
5000001	utility	2005-04-25	Exposure apparatus method and apparatus	B2	12	0
5000002	utility	2005-01-17	Exposure; illumination method and apparatus	B2	8	0
5000003	utility	2005-01-14	Exposure; illumination method and apparatus	B2	25	0
5000004	utility	2005-10-29	Exposure apparatus method and apparatus	B2	16	0
5000005	utility	2005-03-23	Alignment / registration method and apparatus	B2	30	0
5000006	utility	2005-06-22	Exposure apparatus method and apparatus	B2	11	0
5000007	utility	2005-06-26	Exposure apparatus method and apparatus	B2	27	0
5000008	utility	2005-10-02	Alignment / registration method and apparatus	B2	11	0
5000009	utility	2005-05-31	Exposure apparatus method and apparatus	B2	28	0
5000010	utility	2005-12-27	Exposure; illumination method and apparatus	B2	10	0
5000011	utility	2005-02-10	Exposure; illumination method and apparatus	B2	15	0
5000012	utility	2005-11-22	Exposure apparatus method and apparatus	B2	19	0
5000013	utility	2005-05-17	Exposure apparatus method and apparatus	B2	30	0
5000014	utility	2005-11-22	Exposure apparatus method and apparatus	B2	13	0
5000015	utility	2005-07-14	Exposure apparatus method and apparatus	B2	16	0
5000016	utility	2005-01-29	Exposure apparatus method and apparatus	B2	15	0
5000017	utility	2005-02-03	Exposure apparatus method and apparatus	B2	14	0
5000018	utility	2005-06-11	Alignment / registration method and apparatus	B2	14	0
5000019	utility	2005-11-26	Alignment / registration method and apparatus	B2	22	0
5000020	utility	2005-10-15	Exposure apparatus method and apparatus	B2	25	0
5000021	utility	2005-10-26	Exposure apparatus method and apparatus	B2	20	0
5000022	utility	2005-02-16	Exposure; illumination method and apparatus	B2	9	0
5000023	utility	2005-12-15	Exposure; illumination method and apparatus	B2	21	0
5000024	utility	2005-08-28	Exposure apparatus method and apparatus	B2	24	0
5000025	utility	2005-01-06	Exposure; illumination method and apparatus	B2	29	0
5000026	utility	2005-05-17	Exposure; illumination method and apparatus	B2	28	0
5000027	utility	2005-08-21	Exposure apparatus method and apparatus	B2	8	0
5000028	utility	2005-02-24	Masks / reticles method and apparatus	B2	28	0
5000029	utility	2005-04-12	EUV masks method and apparatus	B2	12	0
5000030	utility	2005-09-29	EUV masks method and apparatus	B2	8	0
5000031	utility	2005-07-05	Masks / reticles method and apparatus	B2	17	0
5000032	utility	2005-02-10	Photoresist / process method and apparatus	B2	10	0
5000033	utility	2005-09-30	Photoresist / process method and apparatus	B2	12	0
5000034	utility	2005-03-26	Photoresist / process method and apparatus	B2	16	0
5000035	utility	2005-04-19	EUV masks method and apparatus	B2	25	0
5000036	utility	2005-06-09	Masks / reticles method and apparatus	B2	20	0
5000037	utility	2005-09-22	EUV masks method and apparatus	B2	22	0
5000038	utility	2005-10-29	Photoresist / process method and apparatus	B2	15	0
5000039	utility	2005-01-17	EUV masks method and apparatus	B2	18	0
5000040	utility	2005-09-06	EUV masks method and apparatus	B2	14	0
5000041	utility	2005-08-31	EUV masks method and apparatus	B2	21	0
5000042	utility	2005-07-01	Photoresist / process method and apparatus	B2	21	0
5000043	utility	2005-11-27	Photoresist / process method and apparatus	B2	11	0
5000044	utility	2005-02-25	Photoresist / process method and apparatus	B2	15	0
5000045	utility	2005-04-04	Resist coating method and apparatus	B2	16	0
5000046	utility	2005-01-26	Exposure; illumination method and apparatus	B2	28	0
5000047	utility	2005-05-02	Exposure; illumination method and apparatus	B2	13	0
5000048	utility	2005-07-25	Exposure; illumination method and apparatus	B2	9	0
5000049	utility	2005-05-16	Exposure; illumination method and apparatus	B2	22	0
5000050	utility	2005-06-01	Exposure; illumination method and apparatus	B2	14	0
5000051	utility	2005-01-30	Exposure; illumination method and apparatus	B2	9	0
5000052	utility	2005-02-05	Exposure; illumination method and apparatus	B2	27	0
5000053	utility	2005-10-19	Exposure; illumination method and apparatus	B2	15	0
5000054	utility	2005-08-03	Exposure; illumination method and apparatus	B2	29	0
5000055	utility	2005-05-14	Exposure; illumination method and apparatus	B2	14	0
5000056	utility	2005-07-22	Exposure; illumination method and apparatus	B2	12	0
5000057	utility	2005-02-07	Exposure; illumination method and apparatus	B2	8	0
5000058	utility	2005-02-07	Exposure; illumination method and apparatus	B2	25	0
5000059	utility	2005-06-28	Photoresist / process method and apparatus	B2	10	0
5000060	utility	2005-08-13	Photoresist / process method and apparatus	B2	25	0
5000061	utility	2005-10-11	Masks / reticles method and apparatus	B2	17	0
5000062	utility	2005-03-10	Masks / reticles method and apparatus	B2	16	0
